subdistrict,city,land_size_m2,building_size_m2,price_mio,certificate,bathroom,maid_bedroom,carport,maid_bathroom,floor_level,garage,kitchen,bedroom,living_room,dining_room,property_type,furniture,voltage_watt,property_condition,house_facing,water_source,corner_property,road_width,region_type
Pesanggrahan,Jakarta Selatan,109.0,75.0,638.0,SHM,2,0,1,0,0,0,1,3,1,0,House Type 120,Unfurnished,1660.0,Renovated,North,Groundwater,False,5.1,city
Pasar Minggu,Jakarta Selatan,554.0,410.0,12500.0,SHM,2,1,5,1,0,2,1,8,1,0,House Type >300,Unfurnished,3300.0,Renovated,Northeast,Groundwater,False,5.0,city
Bekasi,Kota Bekasi,126.0,110.0,1650.0,SHM,3,0,1,0,0,0,1,3,1,0,House Type 120,Unfurnished,2200.0,Renovated,Northeast,PAM/PDAM,False,4.0,city
Penjaringan,Jakarta Utara,120.0,146.0,3400.0,Other,3,1,2,1,2,0,1,3,1,0,House Type 200,Unfurnished,5500.0,New,South,Groundwater,False,4.5,city
Ciseeng,Kabupaten Bogor,91.0,75.0,768.0,SHM,2,0,0,0,0,0,1,3,1,0,House Type 120,Semi Furnished,2200.0,Renovated,South,Groundwater,False,6.0,regency
Ciputat,Tangerang Selatan,78.0,68.0,1500.0,SHM,2,0,1,0,2,0,1,3,1,0,House Type 70,Semi Furnished,2200.0,Renovated,West,Groundwater,False,4.5,city
Pesanggrahan,Jakarta Selatan,190.0,130.0,1200.0,SHM,2,0,1,0,0,0,1,4,1,0,House Type 200,Unfurnished,2020.0,New,Northeast,Groundwater,False,5.4,city
Kelapa Gading,Jakarta Utara,120.0,170.0,8210.0,Other,4,1,1,1,2,0,1,4,1,0,House Type 200,Semi Furnished,4400.0,Renovated,Northeast,Groundwater,False,6.5,city
Kelapa Gading,Jakarta Utara,100.0,142.0,6270.0,Other,4,1,2,1,2,0,1,4,1,0,House Type 200,Furnished,2200.0,New,North,Groundwater,False,5.5,city
Kelapa Gading,Jakarta Utara,75.0,107.0,4850.0,Other,4,1,1,1,0,0,1,4,1,0,House Type 120,Unfurnished,1300.0,New,North,Groundwater,False,12.5,city
Kelapa Gading,Jakarta Utara,57.0,81.0,3000.0,Other,1,0,1,0,0,0,1,2,1,0,House Type 120,Semi Furnished,1300.0,New,Northeast,Groundwater,False,5.2,city
Cempaka Putih,Jakarta Pusat,30.0,50.0,550.0,SHM,1,0,0,0,2,0,1,2,1,0,House Type 54,Unfurnished,1300.0,Renovated,North,Groundwater,False,4.7,city
Kemayoran,Jakarta Pusat,120.0,240.0,3000.0,SHM,3,0,1,0,2,0,1,4,1,0,House Type 300,Unfurnished,2200.0,Well Maintained,Northeast,PAM/PDAM,False,4.5,city
Senen,Jakarta Pusat,134.0,410.0,4000.0,SHM,11+,0,0,0,0,0,1,9+,1,0,House Type >300,Semi Furnished,10000.0,Renovated,Northwest,Groundwater,False,5.0,city
Pesanggrahan,Jakarta Selatan,395.0,300.0,10000.0,SHM,4,2,3,1,2,1,1,4,1,1,House Type 300,Unfurnished,3500.0,Renovated,East,Groundwater,False,6.5,city
Penjaringan,Jakarta Utara,240.0,337.0,6800.0,SHM,4,0,2,0,2,0,1,5,1,0,House Type >300,Unfurnished,5500.0,New,North,Groundwater,False,5.0,city
Kemayoran,Jakarta Pusat,88.0,352.0,2000.0,SHM,3,0,0,0,4,0,1,9+,1,0,House Type >300,Unfurnished,3500.0,Renovated,South,Groundwater,False,2.5,city
Kemayoran,Jakarta Pusat,102.0,204.0,2000.0,SHM,3,0,0,0,2,0,1,5,1,0,House Type 300,Semi Furnished,1300.0,Renovated,North,Groundwater,False,2.5,city
Kembangan,Jakarta Barat,160.0,423.0,8250.0,SHM,3,1,2,1,3,0,1,3,1,0,House Type >300,Semi Furnished,10000.0,Renovated,South,PAM/PDAM,False,6.0,city
Karawaci,Kota Tangerang,144.0,90.0,1900.0,SHM,1,0,2,0,0,0,1,2,1,0,House Type 120,Unfurnished,2200.0,Renovated,North,Groundwater,False,5.0,city
Kelapa Gading,Jakarta Utara,120.0,160.0,5900.0,Other,1,1,2,1,2,0,1,3,1,0,House Type 200,Unfurnished,2200.0,New,Northeast,Groundwater,False,5.5,city
Cilandak,Jakarta Selatan,154.0,395.0,7400.0,SHM,4,1,1,1,3,2,1,4,1,0,House Type >300,Unfurnished,6560.0,Well Maintained,South,Groundwater,False,5.0,city
Setiabudi,Jakarta Selatan,682.0,400.0,25000.0,SHM,5,0,2,0,2,3+,1,9+,1,0,House Type >300,Unfurnished,10000.0,Renovated,East,Groundwater,False,5.5,city
Kembangan,Jakarta Barat,132.0,257.0,3200.0,SHM,3,1,1,1,3,0,1,4,1,0,House Type 300,Semi Furnished,3500.0,New,North,Groundwater,False,4.5,city
Kembangan,Jakarta Barat,150.0,1002.0,3900.0,SHM,2,1,1,1,1.5,0,2,2,1,0,House Type >300,Unfurnished,3200.0,Well Maintained,East,Groundwater,False,5.0,city
Pulo Gadung,Jakarta Timur,142.0,250.0,3800.0,SHM,7,0,2,0,2,0,1,5,1,0,House Type 300,Unfurnished,2200.0,New,Northeast,PAM/PDAM,False,4.5,city
Cilandak,Jakarta Selatan,300.0,323.0,8500.0,SHM,4,2,2,1,2,2,1,5,1,0,House Type >300,Semi Furnished,5500.0,Well Maintained,Southeast,Groundwater,False,7.0,city
Pesanggrahan,Jakarta Selatan,450.0,256.0,5000.0,SHM,5,1,8,1,2,3+,1,5,1,0,House Type 300,Unfurnished,4400.0,Well Maintained,East,Groundwater,False,5.0,city
Ciracas,Jakarta Timur,360.0,300.0,3500.0,SHM,3,1,1,1,2,1,2,4,1,0,House Type 300,Semi Furnished,4320.0,New,Northeast,Groundwater,False,7.5,city
Pasar Minggu,Jakarta Selatan,130.0,200.0,3400.0,SHM,3,1,2,1,2,0,1,3,1,0,House Type 200,Unfurnished,2200.0,New,Northeast,Groundwater,False,4.0,city
Cilandak,Jakarta Selatan,532.0,20.0,6500.0,SHM,1,0,1,0,1,0,1,1,1,0,House Type 21,Unfurnished,9420.0,Need Renovation,North,Groundwater,True,5.0,city
Cilandak,Jakarta Selatan,187.0,464.0,8000.0,SHM,5,0,2,0,3.5,0,1,5,1,0,House Type >300,Furnished,8120.0,Well Maintained,Northeast,Groundwater,False,7.5,city
Pancoran,Jakarta Selatan,542.0,414.0,11500.0,SHM,4,1,2,1,3.5,3+,1,5,1,0,House Type >300,Furnished,11040.0,Well Maintained,Northeast,Groundwater,False,5.0,city
Tebet,Jakarta Selatan,90.0,210.0,3500.0,SHM,4,1,1,0,3.5,1,1,4,1,0,House Type 300,Unfurnished,3780.0,New,Northwest,Groundwater,False,2.5,city
Ciputat,Tangerang Selatan,96.0,110.0,1800.0,SHM,3,0,1,1,2,0,1,4,1,0,House Type 120,Unfurnished,2200.0,Renovated,Northwest,Groundwater,False,4.5,city
Cikarang,Kabupaten Bekasi,60.0,102.0,750.0,SHM,3,0,1,0,2,0,1,4,1,1,House Type 120,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,6.0,regency
Kembangan,Jakarta Barat,150.0,300.0,5500.0,SHM,3,1,0,1,2,0,1,4,1,0,House Type 300,Furnished,3500.0,New,South,Groundwater,False,5.6,city
Serpong Utara,Tangerang Selatan,112.0,80.0,2300.0,SHM,2,0,1,0,0,0,1,2,1,0,House Type 120,Unfurnished,2200.0,Renovated,North,Groundwater,False,5.0,city
Cinere,Depok,170.0,150.0,2200.0,SHM,3,0,1,0,0,0,1,3,1,0,House Type 200,Unfurnished,3300.0,Well Maintained,South,Groundwater,False,5.0,city
Ciledug,Kota Tangerang,145.0,128.0,980.0,SHM,2,0,1,0,0,0,1,2,1,0,House Type 200,Unfurnished,2280.0,Well Maintained,Northwest,Groundwater,False,5.6,city
Tanjung Priok,Jakarta Utara,300.0,700.0,13500.0,SHM,6,1,2,0,3.5,2,1,8,1,0,House Type >300,Semi Furnished,13300.0,New,East,Groundwater,False,5.0,city
Kelapa Dua,Kabupaten Tangerang,99.0,135.0,1700.0,HGB,3,1,1,0,2,0,1,3,1,0,House Type 200,Semi Furnished,3300.0,Renovated,East,Groundwater,False,4.7,regency
Tanjung Priok,Jakarta Utara,205.0,270.0,6150.0,SHM,4,0,2,0,0,0,1,4,1,0,House Type 300,Semi Furnished,4500.0,Renovated,North,PAM/PDAM,False,5.0,city
Ciputat,Tangerang Selatan,72.0,50.0,560.0,SHM,1,0,1,0,0,0,1,2,1,0,House Type 54,Unfurnished,1280.0,Renovated,North,Groundwater,False,5.1,city
Penjaringan,Jakarta Utara,250.0,600.0,13500.0,Other,3,0,2,0,3,0,1,3,1,0,House Type >300,Unfurnished,3500.0,Renovated,North,Groundwater,False,5.0,city
Kelapa Gading,Jakarta Utara,102.0,120.0,2300.0,SHM,2,1,1,0,1,0,1,3,1,0,House Type 120,Unfurnished,2200.0,Renovated,West,PAM/PDAM,False,5.0,city
Kelapa Gading,Jakarta Utara,162.0,300.0,4750.0,SHM,3,1,2,1,2,0,1,5,1,0,House Type 300,Furnished,5500.0,Well Maintained,East,Groundwater,False,7.5,city
Serpong,Tangerang Selatan,465.0,396.0,17500.0,Other,5,0,2,0,0,0,1,5,1,0,House Type >300,Semi Furnished,30500.0,Renovated,North,Groundwater,False,5.0,city
Tanjung Priok,Jakarta Utara,160.0,200.0,3300.0,SHM,2,1,2,1,2,0,1,3,1,0,House Type 200,Semi Furnished,3300.0,New,North,Groundwater,False,4.5,city
Ciputat,Tangerang Selatan,72.0,90.0,950.0,SHM,2,0,1,0,2,0,1,3,1,0,House Type 120,Semi Furnished,2200.0,Renovated,Northwest,PAM/PDAM,False,6.0,city
Cileungsi,Kabupaten Bogor,176.0,100.0,1600.0,SHM,2,1,2,1,2,0,1,3,1,0,House Type 120,Unfurnished,2200.0,New,Northeast,PAM/PDAM,False,4.0,regency
Tangerang,Kota Tangerang,80.0,100.0,2750.0,Other,2,1,2,1,0,0,1,3,1,0,House Type 120,Furnished,3300.0,New,North,Groundwater,False,5.0,city
Jagakarsa,Jakarta Selatan,500.0,350.0,4750.0,SHM,3,0,2,0,0,0,1,4,1,0,House Type >300,Unfurnished,1300.0,Well Maintained,North,Groundwater,False,5.0,city
Jatinegara,Jakarta Timur,466.0,216.0,7500.0,HGB,2,0,1,0,1,1,1,8,1,0,House Type 300,Unfurnished,2200.0,Need Renovation,South,Groundwater,True,5.0,city
Kalideres,Jakarta Barat,90.0,100.0,1450.0,SHM,2,1,1,1,1,0,1,2,1,0,House Type 120,Unfurnished,2200.0,Renovated,North,Groundwater,False,4.5,city
Serpong,Tangerang Selatan,112.0,77.0,2150.0,Other,2,1,2,1,2,0,1,3,1,0,House Type 120,Furnished,2200.0,Renovated,South,Groundwater,False,5.0,city
Penjaringan,Jakarta Utara,120.0,300.0,5200.0,SHM,2,0,2,0,3.5,0,1,3,1,0,House Type 300,Furnished,5500.0,New,North,Groundwater,False,5.0,city
Kembangan,Jakarta Barat,142.0,142.0,3800.0,Other,3,1,1,1,3,0,1,4,1,0,House Type 200,Furnished,5500.0,New,Northeast,Groundwater,False,5.5,city
Tanjung Priok,Jakarta Utara,160.0,255.0,6900.0,SHM,4,1,2,1,3,0,1,5,1,0,House Type 300,Unfurnished,3500.0,New,Southwest,PAM/PDAM,True,5.0,city
Cinere,Depok,351.0,122.0,1950.0,SHM,3,0,1,0,0,0,1,5,1,0,House Type 200,Unfurnished,2900.0,Well Maintained,Northwest,Groundwater,False,5.2,city
Mustika Jaya,Kota Bekasi,80.0,50.0,590.0,SHM,1,0,1,0,0,0,1,3,1,0,House Type 54,Unfurnished,1300.0,Renovated,North,Groundwater,False,4.7,city
Gunung Putri,Kabupaten Bogor,125.0,48.0,940.0,SHM,1,0,1,0,0,0,1,2,1,0,House Type 54,Unfurnished,1300.0,Renovated,Northeast,Groundwater,False,4.7,regency
Parung,Kabupaten Bogor,105.0,88.0,1410.0,SHM,2,0,0,0,2,0,1,3,1,0,House Type 120,Semi Furnished,2200.0,Renovated,North,Groundwater,False,4.5,regency
Babakan Madang,Kabupaten Bogor,126.0,100.0,1900.0,Other,2,1,1,1,2,0,1,3,1,1,House Type 120,Furnished,3300.0,Renovated,North,PAM/PDAM,False,6.0,regency
Kelapa Gading,Jakarta Utara,105.0,180.0,4000.0,SHM,1,1,0,0,2,0,1,4,1,0,House Type 200,Unfurnished,2200.0,New,Northwest,PAM/PDAM,False,5.5,city
Tanah Sareal,Kota Bogor,136.0,220.0,1400.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Bogor Barat,Kota Bogor,136.0,220.0,1390.0,SHM,2,0,1,0,2,0,1,3,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Cakung,Jakarta Timur,148.0,156.0,2550.0,SHM,3,1,2,1,2,0,1,3,1,0,House Type 200,Unfurnished,3500.0,Renovated,North,PAM/PDAM,False,5.5,city
Penjaringan,Jakarta Utara,300.0,600.0,14000.0,SHM,5,2,4,0,3,0,1,6,1,0,House Type >300,Semi Furnished,7700.0,New,South,Groundwater,False,5.0,city
Koja,Jakarta Utara,77.0,60.0,1200.0,SHM,1,0,1,0,0,0,1,2,1,0,House Type 60,Unfurnished,2200.0,Well Maintained,Northeast,PAM/PDAM,False,5.0,city
Jati Asih,Kota Bekasi,110.0,48.0,850.0,SHM,1,0,1,0,1,0,1,2,1,0,House Type 54,Semi Furnished,2020.0,Well Maintained,Northwest,Groundwater,False,6.0,city
Cakung,Jakarta Timur,90.0,75.0,1550.0,SHM,2,1,2,1,2,0,1,3,1,0,House Type 120,Unfurnished,2200.0,New,South,Groundwater,False,4.5,city
Cinere,Depok,73.0,96.0,1330.0,SHM,2,0,1,0,0,0,1,3,1,0,House Type 120,Unfurnished,3520.0,New,North,Groundwater,False,4.5,city
Pasar Minggu,Jakarta Selatan,184.0,200.0,2852.0,SHM,2,1,2,1,1.5,0,1,4,1,0,House Type 200,Semi Furnished,3500.0,Renovated,North,Groundwater,False,4.5,city
Bekasi Selatan,Kota Bekasi,68.0,76.0,1120.0,Other,2,0,1,0,2,0,1,2,1,0,House Type 120,Unfurnished,2200.0,Renovated,North,PAM/PDAM,False,5.4,city
Cakung,Jakarta Timur,96.0,58.0,1500.0,SHM,3,0,1,0,2,0,1,3,1,0,House Type 60,Unfurnished,2200.0,New,South,PAM/PDAM,False,4.5,city
Cakung,Jakarta Timur,210.0,121.0,3299.0,Other,3,1,0,1,2,0,1,4,1,0,House Type 200,Unfurnished,4480.0,New,South,Groundwater,False,5.5,city
Sawah Besar,Jakarta Pusat,477.0,360.0,19500.0,SHM,4,1,2,1,2,2,1,6,1,0,House Type >300,Semi Furnished,7700.0,Renovated,East,PAM/PDAM,False,5.5,city
Cileungsi,Kabupaten Bogor,330.0,250.0,2850.0,Other,1,0,0,0,2,3+,1,3,1,0,House Type 300,Unfurnished,2720.0,New,East,Groundwater,False,5.2,regency
Cakung,Jakarta Timur,102.0,75.0,2000.0,SHM,2,1,2,1,2,0,1,3,1,0,House Type 120,Semi Furnished,2200.0,Renovated,Northeast,PAM/PDAM,False,5.2,city
Pulo Gadung,Jakarta Timur,130.0,200.0,3750.0,SHM,3,1,0,0,2,0,1,4,1,0,House Type 200,Semi Furnished,4400.0,New,South,Groundwater,False,5.0,city
Cinere,Depok,380.0,350.0,3500.0,SHM,5,1,0,1,2,0,2,7,1,0,House Type >300,Semi Furnished,10600.0,New,Northeast,Groundwater,True,4.5,city
Setiabudi,Jakarta Selatan,1019.0,600.0,67500.0,SHM,5,0,0,0,0,0,1,5,1,0,House Type >300,Unfurnished,23000.0,New,Northwest,Groundwater,False,5.0,city
Bogor Barat,Kota Bogor,136.0,220.0,1390.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Bogor Barat,Kota Bogor,136.0,220.0,1390.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Batuceper,Kota Tangerang,144.0,300.0,3500.0,SHM,3,1,2,1,3,0,1,4,1,0,House Type 300,Semi Furnished,4400.0,New,Northeast,PAM/PDAM,False,5.0,city
Cipayung,Jakarta Timur,66.0,100.0,1450.0,SHM,3,0,1,0,2,0,1,3,1,0,House Type 120,Unfurnished,2200.0,Well Maintained,Northwest,Groundwater,False,4.5,city
Pasar Minggu,Jakarta Selatan,296.0,245.0,1880.0,SHM,1,0,0,0,0,0,1,3,1,0,House Type 300,Unfurnished,3080.0,Well Maintained,Northwest,Groundwater,False,5.0,city
Tanjung Priok,Jakarta Utara,200.0,210.0,5000.0,SHM,3,1,2,0,2,0,1,3,1,0,House Type 300,Furnished,6000.0,Need Renovation,Southeast,Groundwater,True,12.5,city
Cipayung,Jakarta Timur,66.0,100.0,1450.0,SHM,3,0,1,0,2,0,1,3,1,0,House Type 120,Unfurnished,2200.0,Well Maintained,Northwest,Groundwater,False,4.5,city
Cipayung,Jakarta Timur,66.0,100.0,1500.0,SHM,3,0,1,0,2,0,1,3,1,0,House Type 120,Unfurnished,2200.0,New,Northwest,Groundwater,False,4.5,city
Kebon Jeruk,Jakarta Barat,144.0,250.0,3850.0,SHM,5,1,1,1,2,1,1,5,1,0,House Type 300,Unfurnished,4400.0,New,North,Groundwater,False,5.0,city
Legok,Kabupaten Tangerang,54.0,110.0,1390.0,Other,3,0,0,0,3,0,1,1,1,0,House Type 120,Semi Furnished,5500.0,New,North,Groundwater,False,4.2,regency
Sawangan,Depok,119.0,57.0,897.0,SHM,1,0,1,0,0,0,1,2,1,0,House Type 60,Unfurnished,1840.0,Renovated,Northwest,Groundwater,False,6.0,city
Ciracas,Jakarta Timur,100.0,100.0,550.0,SHM,3,0,1,0,0,0,1,3,1,0,House Type 120,Unfurnished,3500.0,Renovated,Northwest,Groundwater,False,4.5,city
Legok,Kabupaten Tangerang,41.0,45.0,556.0,Other,2,0,1,0,0,0,1,2,1,0,House Type 45,Unfurnished,1300.0,Renovated,North,Groundwater,False,5.1,regency
Legok,Kabupaten Tangerang,39.0,67.0,809.0,Other,2,0,2,0,0,0,1,2,1,0,House Type 70,Semi Furnished,2020.0,Renovated,Northeast,Groundwater,False,6.0,regency
Legok,Kabupaten Tangerang,38.0,42.0,512.0,Other,1,0,1,0,0,0,1,2,1,0,House Type 45,Unfurnished,1300.0,Renovated,North,Groundwater,False,5.1,regency
Cipayung,Jakarta Timur,66.0,100.0,1450.0,SHM,3,0,1,0,2,0,1,3,1,0,House Type 120,Unfurnished,2200.0,Renovated,Northwest,Groundwater,False,4.5,city
Karawaci,Kota Tangerang,84.0,70.0,1206.784,Other,2.5,0,1,0,0,0,1,3,1,0,House Type 70,Unfurnished,2640.0,New,Northeast,Groundwater,True,5.4,city
Legok,Kabupaten Tangerang,74.0,28.0,606.0,Other,1,0,1,0,0,0,1,1,1,0,House Type 36,Unfurnished,1280.0,Renovated,North,Groundwater,False,5.1,regency
Kelapa Dua,Kabupaten Tangerang,73.0,55.0,928.0,Other,2,0,1,0,0,0,1,2,1,0,House Type 60,Semi Furnished,2200.0,Renovated,Northwest,Groundwater,False,6.0,regency
Kelapa Dua,Kabupaten Tangerang,183.0,145.0,3602.267,Other,3,1,2,1,2,0,1,3,1,0,House Type 200,Furnished,4040.0,Renovated,North,Groundwater,True,4.5,regency
Serpong,Tangerang Selatan,133.0,112.0,2200.0,Other,3,1,2,1,1,0,1,4,1,0,House Type 120,Semi Furnished,4400.0,Renovated,North,Groundwater,False,5.0,city
Tanjung Priok,Jakarta Utara,90.0,130.0,1600.0,SHM,2,0,0,0,2,0,1,5,1,0,House Type 200,Unfurnished,2200.0,New,South,Groundwater,False,5.0,city
Ciputat,Tangerang Selatan,570.0,630.0,9500.0,Other,5,4,0,2,0,0,1,7,1,0,House Type >300,Semi Furnished,16500.0,New,Northwest,Groundwater,False,5.0,city
Pesanggrahan,Jakarta Selatan,700.0,300.0,5000.0,SHM,3,1,3,1,1,2,1,4,1,0,House Type 300,Unfurnished,3780.0,Renovated,Northeast,Groundwater,False,5.0,city
Cilandak,Jakarta Selatan,341.0,661.0,20000.0,SHM,4,2,3,3,3,0,1,4,1,0,House Type >300,Unfurnished,11000.0,New,East,Groundwater,False,5.5,city
Pasar Minggu,Jakarta Selatan,120.0,200.0,3400.0,SHM,3,1,2,1,2,0,1,3,1,0,House Type 200,Unfurnished,2200.0,New,Northeast,Groundwater,False,4.0,city
Tebet,Jakarta Selatan,325.0,570.0,11500.0,SHM,5,2,1,1,2,2,1,5,1,0,House Type >300,Semi Furnished,11000.0,Renovated,East,Groundwater,False,5.0,city
Cakung,Jakarta Timur,112.0,168.0,2400.0,SHM,2,1,2,1,2.5,0,1,4,1,1,House Type 200,Semi Furnished,7700.0,Renovated,North,Groundwater,False,5.0,city
Pesanggrahan,Jakarta Selatan,125.0,210.0,3500.0,SHM,3,1,1,1,3,1,1,3,1,0,House Type 300,Unfurnished,2200.0,New,Northeast,Groundwater,False,5.0,city
Jagakarsa,Jakarta Selatan,103.0,155.0,2000.0,SHM,3,1,1,0,2,0,1,3,1,0,House Type 200,Unfurnished,2300.0,New,Northwest,Groundwater,False,6.0,city
Pasar Minggu,Jakarta Selatan,110.0,230.0,3200.0,SHM,3,1,1,1,3,1,1,3,1,0,House Type 300,Unfurnished,4400.0,New,Northeast,Groundwater,False,4.5,city
Cilandak,Jakarta Selatan,418.0,500.0,11000.0,SHM,3,2,1,1,2,2,1,4,1,0,House Type >300,Unfurnished,5500.0,Need Renovation,Northeast,Groundwater,False,5.0,city
Jagakarsa,Jakarta Selatan,165.0,270.0,3400.0,SHM,3,1,2,1,2,0,1,4,1,0,House Type 300,Semi Furnished,4400.0,New,Northeast,Groundwater,False,5.0,city
Cilandak,Jakarta Selatan,406.0,246.0,6500.0,SHM,3,0,2,0,0,0,1,3,1,0,House Type 300,Unfurnished,8000.0,Need Renovation,East,Groundwater,False,5.0,city
Kelapa Gading,Jakarta Utara,1100.0,1038.0,49000.0,HGB,7,3,4,2,2,0,1,6,1,0,House Type >300,Semi Furnished,13200.0,New,South,Groundwater,False,5.0,city
Mampang Prapatan,Jakarta Selatan,205.0,320.0,7700.0,SHM,4,1,1,1,3,1,1,4,1,0,House Type >300,Semi Furnished,7000.0,Well Maintained,North,Groundwater,False,5.0,city
Kebayoran Baru,Jakarta Selatan,458.0,320.0,45000.0,SHM,4,2,4,1,0,2,1,3,1,0,House Type >300,Unfurnished,9720.0,Renovated,West,Groundwater,False,5.0,city
Jagakarsa,Jakarta Selatan,750.0,520.0,12000.0,SHM,5,2,10,2,2,3+,1,5,1,0,House Type >300,Unfurnished,13200.0,New,East,Groundwater,False,5.0,city
Duren Sawit,Jakarta Timur,111.0,165.0,2650.0,SHM,3,1,1,1,2,0,1,3,1,0,House Type 200,Semi Furnished,3500.0,Well Maintained,West,Groundwater,False,5.5,city
Mampang Prapatan,Jakarta Selatan,830.0,450.0,21000.0,SHM,4,2,2,1,1,2,1,5,1,0,House Type >300,Unfurnished,22000.0,Renovated,Northwest,Groundwater,False,5.0,city
Cilandak,Jakarta Selatan,463.0,310.0,10500.0,SHM,4,1,2,1,2,3+,1,4,1,0,House Type >300,Unfurnished,4400.0,Renovated,East,Groundwater,False,5.0,city
Kebayoran Lama,Jakarta Selatan,268.0,80.0,11000.0,SHM,3,0,2,0,2,0,1,4,1,0,House Type 120,Unfurnished,5500.0,Renovated,North,Groundwater,False,5.5,city
Kebayoran Baru,Jakarta Selatan,350.0,700.0,16000.0,SHM,5,0,7,0,3,0,1,5,1,0,House Type >300,Unfurnished,11584.6,Well Maintained,Northeast,Groundwater,False,5.0,city
Kebayoran Baru,Jakarta Selatan,330.0,750.0,32500.0,SHM,5,3,2,2,3,3+,1,4,1,0,House Type >300,Unfurnished,22640.0,Renovated,Northeast,Groundwater,False,5.5,city
Kebayoran Baru,Jakarta Selatan,326.0,550.0,49500.0,SHM,4,3,4,2,3,2,1,5,1,0,House Type >300,Unfurnished,23000.0,New,North,Groundwater,False,5.0,city
Mampang Prapatan,Jakarta Selatan,465.0,640.0,13900.0,SHM,4,1,2,1,2.5,2,2,4,1,1,House Type >300,Unfurnished,8200.0,New,South,Groundwater,False,5.0,city
Kebayoran Baru,Jakarta Selatan,372.0,700.0,33000.0,SHM,5,2,2,1,3.5,2,1,5,1,0,House Type >300,Unfurnished,22640.0,Renovated,Northeast,Groundwater,False,5.0,city
Cilandak,Jakarta Selatan,329.0,830.0,16500.0,SHM,5,2,2,1,0,3+,1,5,1,0,House Type >300,Unfurnished,14004.6,New,North,Groundwater,False,5.0,city
Mampang Prapatan,Jakarta Selatan,650.0,1150.0,33000.0,SHM,3,3,2,3,1,3+,1,5,1,0,House Type >300,Unfurnished,12000.0,Well Maintained,Northwest,Groundwater,False,5.0,city
Kebayoran Lama,Jakarta Selatan,430.0,995.0,24800.0,SHM,4,2,3,2,0,3+,1,4,1,0,House Type >300,Unfurnished,23000.0,Renovated,South,Groundwater,False,5.0,city
Setiabudi,Jakarta Selatan,461.0,1300.0,22000.0,SHM,3,2,2,3,3,3+,2,3,4,0,House Type >300,Unfurnished,15400.0,New,Northwest,Groundwater,False,5.5,city
Tanjung Priok,Jakarta Utara,168.0,212.0,5500.0,SHM,4,0,1,0,2,0,1,4,1,0,House Type 300,Unfurnished,2200.0,New,South,Groundwater,False,5.0,city
Duren Sawit,Jakarta Timur,108.0,165.0,2500.0,SHM,3,1,2,1,2,0,1,4,1,0,House Type 200,Unfurnished,3340.0,Renovated,Northeast,Groundwater,False,5.0,city
Cilandak,Jakarta Selatan,532.0,300.0,6500.0,SHM,2,0,2,0,1,0,1,2,1,0,House Type 300,Unfurnished,6220.0,Need Renovation,Northeast,Groundwater,True,5.0,city
Kebayoran Lama,Jakarta Selatan,555.0,900.0,30000.0,SHM,4,2,4,0,2,3+,1,4,1,0,House Type >300,Unfurnished,22240.0,Renovated,Northeast,Groundwater,False,5.5,city
Tebet,Jakarta Selatan,90.0,210.0,3500.0,SHM,4,1,1,0,3.5,1,1,4,1,0,House Type 300,Semi Furnished,3780.0,New,Northwest,Groundwater,False,2.5,city
Mampang Prapatan,Jakarta Selatan,210.0,350.0,8000.0,SHM,3,1,2,1,3,0,2,4,1,0,House Type >300,Unfurnished,6240.0,New,Northeast,Groundwater,False,5.0,city
Pesanggrahan,Jakarta Selatan,270.0,500.0,8500.0,SHM,5,1,2,1,2,0,1,4,1,0,House Type >300,Semi Furnished,7700.0,Well Maintained,Northeast,Groundwater,False,8.0,city
Kebayoran Lama,Jakarta Selatan,211.0,144.0,4700.0,SHM,2,0,3,0,1,0,1,3,1,0,House Type 200,Unfurnished,2200.0,Need Renovation,East,Groundwater,False,12.5,city
Cilandak,Jakarta Selatan,320.0,360.0,8700.0,SHM,3,1,1,1,2,1,2,6,1,0,House Type >300,Semi Furnished,5500.0,New,Southeast,Groundwater,False,7.0,city
Setu,Kabupaten Bekasi,76.0,90.0,1600.0,SHM,3,0,2,0,0,0,1,3,1,0,House Type 120,Unfurnished,2200.0,New,Northwest,Groundwater,False,4.0,regency
Cengkareng,Jakarta Barat,45.0,61.0,1280.0,SHM,1,0,0,0,0,0,1,2,1,0,House Type 70,Semi Furnished,2200.0,New,East,PAM/PDAM,False,4.9,city
Cipayung,Jakarta Timur,88.0,80.0,1750.0,SHM,2,1,2,0,2,0,1,3,1,0,House Type 120,Unfurnished,2420.0,Well Maintained,Northeast,Groundwater,False,4.5,city
Cipayung,Jakarta Timur,320.0,223.0,3000.0,SHM,4,1,2,1,0,0,1,3,1,1,House Type 300,Unfurnished,2720.0,New,North,Groundwater,False,5.0,city
