subdistrict,city,land_size_m2,building_size_m2,price_mio,certificate,bathroom,maid_bedroom,carport,maid_bathroom,floor_level,garage,kitchen,bedroom,living_room,dining_room,property_type,furniture,voltage_watt,property_condition,house_facing,water_source,corner_property,road_width,region_type
Cipondoh,Kota Tangerang,240.0,125.0,3000.0,SHM,2,1,1,1,2,0,1,2,1,0,House Type 200,Semi Furnished,2200.0,New,Northeast,PAM/PDAM,False,5.0,city
Cipondoh,Kota Tangerang,240.0,125.0,3000.0,SHM,2,1,1,1,2,0,1,2,1,0,House Type 200,Semi Furnished,2200.0,New,Northeast,PAM/PDAM,False,5.0,city
Cibinong,Kabupaten Bogor,90.0,102.0,515.0,SHM,2,0,1,0,0,0,1,4,1,0,House Type 120,Unfurnished,1740.0,Renovated,North,Groundwater,False,5.1,regency
Palmerah,Jakarta Barat,426.0,326.0,7500.0,SHM,11+,0,4,0,2,0,1,9+,1,0,House Type >300,Semi Furnished,8000.0,Renovated,Northeast,Groundwater,False,6.5,city
Duren Sawit,Jakarta Timur,126.0,250.0,3500.0,SHM,4,1,2,1,0,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,New,Northeast,Groundwater,False,4.5,city
Tanjung Priok,Jakarta Utara,108.0,231.0,2800.0,SHM,2,1,1,1,0,0,1,3,1,0,House Type 300,Semi Furnished,3500.0,Renovated,North,Groundwater,False,5.0,city
Duren Sawit,Jakarta Timur,126.0,250.0,3500.0,SHM,4,1,2,1,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,New,Northeast,Groundwater,False,4.5,city
Bogor Tengah,Kota Bogor,135.0,220.0,1390.0,SHM,2,0,1,0,2,0,1,4,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Gunung Sindur,Kabupaten Bogor,60.0,36.0,488.0,Other,1,0,0,0,0,0,1,2,1,0,House Type 36,Unfurnished,1300.0,Renovated,North,Groundwater,False,4.7,regency
Gunung Sindur,Kabupaten Bogor,84.0,85.0,999.0,Other,2,0,0,0,0,0,1,3,1,0,House Type 120,Semi Furnished,2200.0,Renovated,Northwest,Groundwater,False,6.0,regency
Gunung Sindur,Kabupaten Bogor,60.0,57.0,688.0,Other,2,0,0,0,0,0,1,3,1,0,House Type 60,Unfurnished,2200.0,Renovated,South,Groundwater,False,6.0,regency
Gunung Sindur,Kabupaten Bogor,60.0,59.0,700.0,Other,2,0,0,0,0,0,1,3,1,0,House Type 60,Semi Furnished,2200.0,Renovated,South,Groundwater,False,6.0,regency
Cakung,Jakarta Timur,90.0,65.0,1350.0,SHM,1,0,2,0,0,0,1,2,1,1,House Type 70,Unfurnished,2200.0,New,East,PAM/PDAM,False,4.5,city
Makasar,Jakarta Timur,104.0,158.0,2600.0,SHM,2,1,0,0,3,3+,1,3,1,0,House Type 200,Furnished,3820.0,Renovated,Northeast,Groundwater,False,5.0,city
Ciputat,Tangerang Selatan,179.0,157.0,1380.0,SHM,2,0,2,0,2,0,1,2,1,0,House Type 200,Unfurnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Ciputat,Tangerang Selatan,179.0,157.0,1380.0,Other,2,0,2,0,2,0,1,2,1,0,House Type 200,Unfurnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Ciputat,Tangerang Selatan,179.0,157.0,1380.0,Other,2,0,2,0,2,0,1,2,1,0,House Type 200,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Ciputat,Tangerang Selatan,96.0,150.0,1280.0,Other,3,0,1,0,2,0,1,3,1,0,House Type 200,Unfurnished,3080.0,New,Northwest,Groundwater,False,4.5,city
Cakung,Jakarta Timur,90.0,72.0,1420.0,SHM,2,1,2,1,1.5,0,1,3,1,1,House Type 120,Semi Furnished,2200.0,Renovated,East,PAM/PDAM,False,4.5,city
Cipayung,Jakarta Timur,66.0,100.0,1450.0,SHM,3,0,1,0,2,0,1,3,1,0,House Type 120,Unfurnished,2200.0,Renovated,Northwest,Groundwater,False,4.5,city
Pesanggrahan,Jakarta Selatan,150.0,100.0,2000.0,Other,2,0,0,0,0,0,1,3,1,0,House Type 120,Semi Furnished,2480.0,New,Northeast,Groundwater,False,5.2,city
Ciputat,Tangerang Selatan,125.0,160.0,2500.0,Other,2,1,0,1,1.5,0,1,3,1,0,House Type 200,Semi Furnished,2200.0,New,Northeast,Groundwater,False,5.0,city
Tanah Sareal,Kota Bogor,136.0,220.0,1390.0,SHM,1,1,1,1,2,0,1,3,1,0,House Type 300,Semi Furnished,2200.0,Renovated,South,PAM/PDAM,False,4.5,city
Gunung Putri,Kabupaten Bogor,164.0,200.0,1100.0,SHM,3,1,0,0,3,0,2,4,1,0,House Type 200,Unfurnished,2060.0,Well Maintained,Northeast,Groundwater,False,5.0,regency
Kelapa Dua,Kabupaten Tangerang,108.0,126.0,2750.0,Other,3,1,2,1,2,0,1,4,1,0,House Type 200,Semi Furnished,2940.0,New,Northwest,Groundwater,True,5.0,regency
Cipayung,Jakarta Timur,66.0,100.0,1450.0,SHM,3,0,1,0,0,0,1,3,1,0,House Type 120,Unfurnished,2200.0,Renovated,Northwest,Groundwater,False,4.5,city
Cipayung,Jakarta Timur,66.0,100.0,1450.0,SHM,3,0,1,0,0,0,1,3,1,0,House Type 120,Unfurnished,2200.0,Renovated,Northwest,Groundwater,False,4.5,city
Cipayung,Jakarta Timur,66.0,100.0,1450.0,SHM,3,0,1,0,2,0,1,3,1,0,House Type 120,Unfurnished,2200.0,New,Northwest,Groundwater,False,4.5,city
Pesanggrahan,Jakarta Selatan,150.0,288.0,4500.0,SHM,4,1,2,1,3,0,1,4,1,0,House Type 300,Unfurnished,5500.0,New,Northeast,Groundwater,False,5.0,city
Pancoran,Jakarta Selatan,103.0,140.0,2700.0,SHM,2,0,2,0,3,1,1,4,1,0,House Type 200,Unfurnished,2640.0,Well Maintained,Northwest,Groundwater,False,5.0,city
Pasar Minggu,Jakarta Selatan,318.0,480.0,9000.0,SHM,5,1,5,1,2.5,0,2,5,2,1,House Type >300,Unfurnished,6340.0,Renovated,South,Groundwater,False,5.0,city
Pulo Gadung,Jakarta Timur,104.0,250.0,2900.0,SHM,4,1,2,1,3,3+,1,4,1,0,House Type 300,Unfurnished,3500.0,Renovated,North,Groundwater,False,2.5,city
Jagakarsa,Jakarta Selatan,251.0,285.0,4500.0,SHM,7,0,2,0,2.5,0,2,6,1,0,House Type 300,Furnished,4400.0,New,Northwest,Groundwater,False,13.0,city
Cinere,Depok,195.0,225.0,4600.0,SHM,3,1,2,1,2,0,1,4,1,0,House Type 300,Unfurnished,3500.0,New,South,Groundwater,False,13.0,city
Tanjung Priok,Jakarta Utara,292.0,360.0,6450.0,HGB,4,1,1,1,2.5,1,1,6,1,0,House Type >300,Semi Furnished,5500.0,Need Renovation,North,PAM/PDAM,False,7.5,city
Cinere,Depok,200.0,300.0,4100.0,SHM,3,1,2,1,2,0,1,3,1,0,House Type 300,Unfurnished,5500.0,Well Maintained,Northwest,Groundwater,False,5.5,city
Cilandak,Jakarta Selatan,317.0,280.0,3800.0,SHM,3,2,2,1,2,1,1,4,1,1,House Type 300,Unfurnished,3500.0,Renovated,Northeast,PAM/PDAM,False,5.0,city
Pesanggrahan,Jakarta Selatan,113.0,142.0,3500.0,SHM,2,1,2,1,3,0,1,3,1,0,House Type 200,Unfurnished,3500.0,New,Northeast,Groundwater,False,5.0,city
Cilandak,Jakarta Selatan,180.0,300.0,4800.0,SHM,4,1,3,1,3,0,2,4,1,0,House Type 300,Unfurnished,3600.0,New,East,Groundwater,False,14.0,city
Kebayoran Lama,Jakarta Selatan,160.0,30.0,6800.0,SHM,3,1,3,1,2,0,1,3,1,0,House Type 36,Unfurnished,5500.0,Well Maintained,North,PAM/PDAM,False,5.0,city
Kebayoran Lama,Jakarta Selatan,548.0,890.0,38000.0,SHM,6,1,5,1,2,2,1,8,1,0,House Type >300,Unfurnished,9060.0,New,Northwest,Groundwater,False,5.5,city
Kebayoran Lama,Jakarta Selatan,200.0,532.0,16500.0,SHM,4,2,2,1,3.5,3+,3,4,1,0,House Type >300,Unfurnished,15304.6,Renovated,Northeast,Groundwater,False,5.0,city
Pancoran,Jakarta Selatan,75.0,120.0,3200.0,SHM,3,1,2,1,3,0,1,3,1,0,House Type 120,Unfurnished,4400.0,New,North,Groundwater,False,5.0,city
Senen,Jakarta Pusat,168.0,150.0,3900.0,SHM,3,0,3,0,0,0,1,4,1,0,House Type 200,Semi Furnished,2500.0,Renovated,Northwest,PAM/PDAM,False,7.5,city
Cilandak,Jakarta Selatan,125.0,320.0,5900.0,SHM,4,1,2,1,3,0,1,4,1,0,House Type >300,Unfurnished,7700.0,Renovated,North,Groundwater,False,6.0,city
Kelapa Gading,Jakarta Utara,120.0,120.0,1100.0,SHM,2,0,1,0,1,0,1,2,1,0,House Type 120,Unfurnished,2240.0,Renovated,North,Groundwater,False,5.0,city
Jagakarsa,Jakarta Selatan,108.0,140.0,2350.0,SHM,3,1,2,1,2,0,1,3,1,0,House Type 200,Unfurnished,3500.0,Renovated,North,Groundwater,False,5.0,city
Ciracas,Jakarta Timur,360.0,300.0,3500.0,SHM,3,1,1,1,2,1,2,4,1,0,House Type 300,Semi Furnished,4320.0,New,Northeast,Groundwater,False,5.0,city
Jagakarsa,Jakarta Selatan,134.0,160.0,2680.0,SHM,3,0,2,0,2,0,1,4,1,0,House Type 200,Unfurnished,2200.0,New,Northeast,Groundwater,False,5.0,city
Kebon Jeruk,Jakarta Barat,70.0,140.0,1650.0,SHM,2,1,1,1,2,0,1,2,1,0,House Type 200,Unfurnished,2200.0,Well Maintained,West,Groundwater,False,5.0,city
Pasar Minggu,Jakarta Selatan,128.0,187.0,4600.0,SHM,3,1,2,1,2,0,1,3,2,1,House Type 200,Furnished,6120.0,Well Maintained,East,Groundwater,False,45.0,city
Cilandak,Jakarta Selatan,339.0,260.0,6800.0,SHM,6,0,3,0,0,0,1,6,1,0,House Type 300,Unfurnished,5860.0,Renovated,North,PAM/PDAM,False,5.0,city
Cilandak,Jakarta Selatan,247.0,300.0,8500.0,SHM,4,2,0,1,3.5,0,1,4,1,0,House Type 300,Unfurnished,8800.0,New,South,Groundwater,False,5.0,city
Cilandak,Jakarta Selatan,88.0,160.0,3400.0,SHM,3,1,2,1,3,0,2,3,1,0,House Type 200,Unfurnished,3380.0,New,Northwest,Groundwater,False,5.0,city
Kembangan,Jakarta Barat,250.0,370.0,5900.0,SHM,4,1,2,1,2.5,1,1,5,1,0,House Type >300,Semi Furnished,5500.0,New,North,Groundwater,False,5.0,city
